Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Orangutan_ID,First_Urine_Day,Dirt_Fecal,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,Creatinine_Result,CV,Status
663,6433,22-Jul-14,Alysse,6:34:00 AM,Sony,TRUE,FALSE,1.013,Tuanan,Pongo pygmaeus wurmbii,dependent immature non-clinging infant (4yrs-weaned),0.246,1.2,ok
662,6432,22-Jul-14,Alysse,10:21:00 AM,Sidony,FALSE,FALSE,1.020,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.466,1.8,ok
661,6434,22-Jul-14,Idun,5:28:00 AM,Inul,TRUE,FALSE,1.050,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.121,1.9,ok
660,6430,21-Jul-14,Suwi,5:36:00 AM,Ipsy,TRUE,FALSE,1.052,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.617,3.9,ok
659,6429,21-Jul-14,Anna,5:28:00 AM,Inul,TRUE,FALSE,1.048,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.915,1.1,ok
658,6427,21-Jul-14,Yann,8:44:00 AM,Sidony,TRUE,FALSE,1.023,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.47,3.1,ok
657,6428,21-Jul-14,Alysse,6:03:00 AM,Sony,TRUE,FALSE,1.020,Tuanan,Pongo pygmaeus wurmbii,dependent immature non-clinging infant (4yrs-weaned),0.293,1.7,ok
656,6422,20-Jul-14,Suwi,5:52:00 AM,Sidony,TRUE,TRUE,1.021,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.636,0.4,ok
655,6420,19-Jul-14,Alysse,12:22:00 PM,Inul,FALSE,FALSE,1.041,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.551,2.7,ok
654,6418,19-Jul-14,Wilhelm,7:23:00 AM,Sidony,TRUE,FALSE,1.023,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.725,1.8,ok
653,6414,18-Jul-14,Tono,8:50:00 AM,Sidony,TRUE,FALSE,1.021,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.813,1.3,ok
652,6411,17-Jul-14,Abuk,6:38:00 AM,Jinak,FALSE,FALSE,1.042,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.675,"3.8
 
 
3.8",ok
651,6409,17-Jul-14,Rahmatd,8:38:00 AM,Sidony,TRUE,FALSE,1.023,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.868,2.1,ok
650,6406,16-Jul-14,Julia,5:28:00 AM,Jinak,TRUE,TRUE,1.033,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.751,2.2,ok
649,6405,16-Jul-14,Alysse,2:08:00 PM,Sidony,FALSE,FALSE,1.020,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.884,0.5,ok
